csv_row_index,symbol,trade_type,first_message_timestamp,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,exit_reason,initial_profit_target_pct,final_profit_target_pct,target_extensions,stop_loss_pct,trailing_stop_pct,highest_price,highest_profit_pct,trailing_stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,max_hold_hours,data_points_used,total_data_points,trade_log,error
0,IO,TRAILING_LONG,2024-06-11 14:49:01+00:00,2000.0,2048.7444608567207,2000.0,590.8419497784344,3.385,2024-06-11T14:50:00+00:00,3.4675,2024-06-11T15:05:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,3.65,7.83,3.4675,0.25,15.0,2.44,48.74,1.0,4.0,576.0,[],
1,GME,,2024-06-11 15:10:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
2,DOP1,,2024-07-10 09:53:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
3,MOCA,TRAILING_LONG,2024-07-12 10:53:49+00:00,2048.7444608567207,2191.5378963791186,2048.7444608567207,17778.067171613337,0.11524,2024-07-12T10:55:00+00:00,0.12327199999999998,2024-07-12T11:00:00+00:00,trailing_stop,15.0,25.0,1.0,2.0,5.0,0.12976,12.6,0.12327199999999998,0.08,5.0,6.97,142.79,1.0,2.0,576.0,"[{'time': '2024-07-12T11:00:00+00:00', 'price': 0.12976, 'action': 'target_extended', 'old_target': 15.0, 'new_target': 25.0, 'current_profit': 12.599791738979512}]",
4,AERO,TRAILING_LONG,2024-07-15 09:45:38+00:00,2191.5378963791186,2191.5378963791186,2191.5378963791186,2692.3069980087453,0.814,2024-07-15T09:50:00+00:00,0.814,2024-07-15T09:55:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.818,0.49,0.814,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
5,PRCL,TRAILING_LONG,2024-07-17 10:11:30+00:00,2191.5378963791186,2147.707138451536,2191.5378963791186,8027.611342048053,0.273,2024-07-17T10:15:00+00:00,0.26754,2024-07-17T10:20:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,0.2752,0.81,0.273,0.08,5.0,-2.0,-43.83,1.0,2.0,576.0,[],
6,CLOUD,TRAILING_LONG,2024-07-19 10:14:45+00:00,2147.707138451536,2104.7529956825056,2147.707138451536,6859.492617219854,0.3131,2024-07-19T10:15:00+00:00,0.306838,2024-07-19T10:20:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,0.3131,0.0,0.3131,0.08,5.0,-2.0,-42.95,1.0,2.0,576.0,[],
7,UXLINK,,2024-07-19 10:25:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
8,BANANA,TRAILING_LONG,2024-07-19 11:36:52+00:00,2104.7529956825056,2104.7529956825056,2104.7529956825056,30.803216726170525,68.329,2024-07-19T11:40:00+00:00,68.329,2024-07-19T11:50:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,69.506,1.72,68.329,0.17,10.0,0.0,0.0,1.0,3.0,576.0,[],
9,PIRATE,,2024-07-22 11:15:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
10,A8,TRAILING_LONG,2024-07-22 12:06:33+00:00,2104.7529956825056,2104.7529956825056,2104.7529956825056,8880.814327774286,0.237,2024-07-22T12:10:00+00:00,0.237,2024-07-22T12:30:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.244,2.95,0.237,0.33,20.0,0.0,0.0,1.0,5.0,576.0,[],
11,AVAIL,TRAILING_LONG,2024-07-23 15:20:13+00:00,2104.7529956825056,2104.7529956825056,2104.7529956825056,14489.556627306249,0.14526,2024-07-23T15:25:00+00:00,0.14526,2024-07-23T16:00:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.14923,2.73,0.14526,0.58,35.0,0.0,0.0,1.0,8.0,576.0,[],
12,G,TRAILING_LONG,2024-07-25 10:40:21+00:00,2104.7529956825056,2149.4585400626383,2104.7529956825056,39915.66462511863,0.05273,2024-07-25T10:45:00+00:00,0.05385,2024-07-25T11:45:00+00:00,time_limit,15.0,15.0,0.0,2.0,5.0,0.05479,3.91,0.05273,1.0,60.0,2.12,44.71,1.0,13.0,576.0,[],
13,DEXE,TRAILING_LONG,2024-07-25 10:52:21+00:00,2149.4585400626383,2106.4693692613855,2149.4585400626383,218.72988094664072,9.827,2024-07-25T10:55:00+00:00,9.63046,2024-07-25T11:00:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,9.827,0.0,9.827,0.08,5.0,-2.0,-42.99,1.0,2.0,576.0,[],
14,RENDER,TRAILING_LONG,2024-07-26 09:00:34+00:00,2106.4693692613855,2106.4693692613855,2106.4693692613855,323.7733429544091,6.506,2024-07-26T09:05:00+00:00,6.506,2024-07-26T09:10:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,6.519,0.2,6.506,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
15,L3,TRAILING_LONG,2024-07-31 09:53:56+00:00,2106.4693692613855,2106.4693692613855,2106.4693692613855,21350.794336725983,0.09866,2024-07-31T09:55:00+00:00,0.09866,2024-07-31T10:00:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.10233,3.72,0.09866,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
16,MAX,,2024-08-06 10:08:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
17,USDE,,2024-08-07 10:41:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
18,PIXFI,,2024-08-08 09:59:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
19,MOTHER,,2024-08-08 10:40:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
20,NEIRO,,2024-08-15 10:01:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
21,FDUSD,,2024-08-16 10:47:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
22,SYS,,2024-08-20 10:26:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
23,SYN,,2024-08-20 10:28:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
24,VOXEL,,2024-08-21 11:27:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
25,VIDT,,2024-08-26 08:53:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
26,SUNDOG,TRAILING_LONG,2024-08-26 09:03:56+00:00,2106.4693692613855,2190.960475212274,2106.4693692613855,7744.372681108034,0.272,2024-08-26T09:05:00+00:00,0.28291,2024-08-26T09:10:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.2978,9.49,0.28291,0.08,5.0,4.01,84.49,1.0,2.0,576.0,[],
27,DOGS,TRAILING_LONG,2024-08-26 13:37:45+00:00,2190.960475212274,2190.960475212274,2190.960475212274,1828848.4768049032,0.001198,2024-08-26T13:40:00+00:00,0.001198,2024-08-26T13:45:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.001224,2.17,0.001198,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
28,NULS,,2024-08-27 10:44:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
29,ORDER,TRAILING_LONG,2024-08-27 11:02:01+00:00,2190.960475212274,2190.960475212274,2190.960475212274,10625.414525762726,0.2062,2024-08-27T11:05:00+00:00,0.2062,2024-08-27T11:10:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.2074,0.58,0.2062,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
30,CHESS,TRAILING_LONG,2024-09-02 09:36:10+00:00,2190.960475212274,2190.960475212274,2190.960475212274,13206.512810200567,0.1659,2024-09-02T09:40:00+00:00,0.1659,2024-09-02T09:55:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.1687,1.69,0.1659,0.25,15.0,0.0,0.0,1.0,4.0,576.0,[],
31,SLF,TRAILING_LONG,2024-09-03 09:36:07+00:00,2190.960475212274,2190.960475212274,2190.960475212274,3590.5612507575784,0.6102,2024-09-03T09:40:00+00:00,0.6102,2024-09-03T09:55:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.612,0.29,0.6102,0.25,15.0,0.0,0.0,1.0,4.0,576.0,[],
32,FLUX,TRAILING_LONG,2024-09-04 09:04:51+00:00,2190.960475212274,2147.1412657080286,2190.960475212274,3584.6866413813386,0.6112,2024-09-04T09:05:00+00:00,0.598976,2024-09-04T09:50:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,0.6112,0.0,0.6112,0.75,45.0,-2.0,-43.82,1.0,10.0,576.0,[],
33,POL,TRAILING_LONG,2024-09-05 09:02:43+00:00,2147.1412657080286,2147.1412657080286,2147.1412657080286,5708.963748226612,0.3761,2024-09-05T09:05:00+00:00,0.3761,2024-09-05T09:10:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.3784,0.61,0.3761,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
34,QUICK,TRAILING_LONG,2024-09-10 09:44:10+00:00,2147.1412657080286,2147.1412657080286,2147.1412657080286,51601.568510166515,0.04161,2024-09-10T09:45:00+00:00,0.04161,2024-09-10T09:50:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.04164,0.07,0.04161,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
35,CAT,,2024-09-13 12:13:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
36,NEIROCTO,,2024-09-16 11:50:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
37,ALEO,TRAILING_LONG,2024-09-19 09:21:46+00:00,2147.1412657080286,2104.198440393868,2147.1412657080286,650.4714670871667,3.3009,2024-09-19T09:25:00+00:00,3.234882,2024-09-19T09:30:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,3.3009,0.0,3.3009,0.08,5.0,-2.0,-42.94,1.0,2.0,576.0,[],
38,PRIME,TRAILING_LONG,2024-09-30 09:00:06+00:00,2104.198440393868,2062.1144715859905,2104.198440393868,198.715501028791,10.589,2024-09-30T09:05:00+00:00,10.37722,2024-09-30T09:10:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,10.594,0.05,10.589,0.08,5.0,-2.0,-42.08,1.0,2.0,576.0,[],
39,MOODENG,TRAILING_LONG,2024-10-01 08:37:16+00:00,2062.1144715859905,2111.6474527712376,2062.1144715859905,9181.275474559174,0.2246,2024-10-01T08:40:00+00:00,0.229995,2024-10-01T08:45:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.2421,7.79,0.229995,0.08,5.0,2.4,49.53,1.0,2.0,576.0,[],
40,GOMINING,,2024-10-02 08:47:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
41,WHY,,2024-10-04 10:48:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
42,PYR,TRAILING_LONG,2024-10-07 09:09:29+00:00,2111.6474527712376,2111.6474527712376,2111.6474527712376,751.2086278090493,2.811,2024-10-07T09:10:00+00:00,2.811,2024-10-07T09:15:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,2.819,0.28,2.811,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
43,KMNO,TRAILING_LONG,2024-10-09 10:04:57+00:00,2111.6474527712376,2111.6474527712376,2111.6474527712376,24451.684260898997,0.08636,2024-10-09T10:05:00+00:00,0.08636,2024-10-09T10:10:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.08665,0.34,0.08636,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
44,CATS,,2024-10-11 09:42:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
45,PUFFER,TRAILING_LONG,2024-10-14 13:12:28+00:00,2111.6474527712376,2111.6474527712376,2111.6474527712376,6996.843779891443,0.3018,2024-10-14T13:15:00+00:00,0.3018,2024-10-14T13:20:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.31,2.72,0.3018,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
46,DBR,TRAILING_LONG,2024-10-17 11:48:54+00:00,2111.6474527712376,2133.403820466456,2111.6474527712376,67357.17552699322,0.03135,2024-10-17T11:50:00+00:00,0.031673,2024-10-17T11:55:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.03334,6.35,0.031673,0.08,5.0,1.03,21.76,1.0,2.0,576.0,[],
47,DEEP,TRAILING_LONG,2024-10-17 12:02:54+00:00,2133.403820466456,2133.403820466456,2133.403820466456,66982.85150601118,0.03185,2024-10-17T12:05:00+00:00,0.03185,2024-10-17T12:10:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.03239,1.7,0.03185,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
48,HPOS10I,TRAILING_LONG,2024-10-20 09:35:05+00:00,2133.403820466456,2200.667398318751,2133.403820466456,6562.300278272704,0.3251,2024-10-21T10:00:00+00:00,0.33535,2024-10-21T10:05:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.353,8.58,0.33535,0.08,5.0,3.15,67.26,1.0,2.0,284.0,[],
49,LUMIA,TRAILING_LONG,2024-10-25 09:20:39+00:00,2200.667398318751,2200.667398318751,2200.667398318751,1944.052472013031,1.132,2024-10-25T09:25:00+00:00,1.132,2024-10-25T09:30:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,1.144,1.06,1.132,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
50,X,,2024-10-25 09:22:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
51,KAIA,TRAILING_LONG,2024-11-01 09:36:01+00:00,2200.667398318751,2200.667398318751,2200.667398318751,15820.757716166434,0.1391,2024-11-01T09:40:00+00:00,0.1391,2024-11-01T09:45:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.1401,0.72,0.1391,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
52,VIRTUAL,,2024-11-01 09:44:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
53,SWELL,,2024-11-07 11:32:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
54,COW,TRAILING_LONG,2024-11-08 10:43:59+00:00,2200.667398318751,2200.667398318751,2200.667398318751,4438.619197899861,0.4958,2024-11-08T10:45:00+00:00,0.4958,2024-11-08T10:50:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.4964,0.12,0.4958,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
55,PNUT,TRAILING_LONG,2024-11-11 07:11:29+00:00,2200.667398318751,2305.240986949807,2200.667398318751,5777.546333207538,0.3809,2024-11-11T09:00:00+00:00,0.39899999999999997,2024-11-11T09:05:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.42,10.27,0.39899999999999997,0.08,5.0,4.75,104.57,1.0,2.0,555.0,[],
56,ACT,TRAILING_LONG,2024-11-11 07:31:31+00:00,2305.240986949807,2259.136167210811,2305.240986949807,7019.61323675337,0.3284,2024-11-11T09:00:00+00:00,0.321832,2024-11-11T09:05:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,0.3308,0.73,0.3284,0.08,5.0,-2.0,-46.1,1.0,2.0,559.0,[],
57,FWOG,TRAILING_LONG,2024-11-12 09:51:47+00:00,2259.136167210811,2213.9534438665946,2259.136167210811,3622.965179310429,0.62356,2024-11-12T09:55:00+00:00,0.6110888,2024-11-12T10:00:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,0.62356,0.0,0.62356,0.08,5.0,-2.0,-45.18,1.0,2.0,576.0,[],
58,TROY,,2024-11-13 09:41:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
59,TAI,,2024-11-14 07:02:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
60,HIPPO,TRAILING_LONG,2024-11-14 09:58:18+00:00,2213.9534438665946,2349.5386489183775,2213.9534438665946,103698.05357688968,0.02135,2024-11-14T10:00:00+00:00,0.022657499999999997,2024-11-14T10:15:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.02385,11.71,0.022657499999999997,0.25,15.0,6.12,135.59,1.0,4.0,576.0,[],
61,SD,TRAILING_LONG,2024-11-14 09:58:18+00:00,2349.5386489183775,2349.5386489183775,2349.5386489183775,3087.0301523037415,0.7611,2024-11-14T10:00:00+00:00,0.7611,2024-11-14T10:05:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.7642,0.41,0.7611,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
62,PROS,,2024-11-15 10:29:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
63,BAN,TRAILING_LONG,2024-11-18 09:09:10+00:00,2349.5386489183775,2349.5386489183775,2349.5386489183775,9231.978974139007,0.2545,2024-11-18T09:10:00+00:00,0.2545,2024-11-18T09:15:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.2605,2.36,0.2545,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
64,RIFSOL,,2024-11-18 10:43:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
65,PEAQ,TRAILING_LONG,2024-11-19 09:50:29+00:00,2349.5386489183775,2302.54787594001,2349.5386489183775,8615.83662969702,0.2727,2024-11-19T09:55:00+00:00,0.267246,2024-11-19T10:00:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,0.2744,0.62,0.2727,0.08,5.0,-2.0,-46.99,1.0,2.0,576.0,[],
66,LUCE,,2024-11-19 09:55:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
67,OL,TRAILING_LONG,2024-11-21 10:26:54+00:00,2302.54787594001,2434.4828160730976,2302.54787594001,21493.026005227384,0.10713,2024-11-21T10:30:00+00:00,0.1132685,2024-11-21T10:40:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.11923,11.29,0.1132685,0.17,10.0,5.73,131.93,1.0,3.0,576.0,[],
68,CHILLGUY,TRAILING_LONG,2024-11-21 10:28:54+00:00,2434.4828160730976,2385.7931597516354,2434.4828160730976,5943.561562678461,0.4096,2024-11-21T10:30:00+00:00,0.401408,2024-11-21T10:35:00+00:00,stop_loss,15.0,15.0,0.0,2.0,5.0,0.4199,2.51,0.4096,0.08,5.0,-2.0,-48.69,1.0,2.0,576.0,[],
69,MORPHO,TRAILING_LONG,2024-11-22 09:11:06+00:00,2385.7931597516354,2385.7931597516354,2385.7931597516354,2135.3201107595414,1.1173,2024-11-22T09:15:00+00:00,1.1173,2024-11-22T09:20:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,1.1325,1.36,1.1173,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
70,ZRC,,2024-11-25 10:47:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
71,CHEEMS,,2024-11-25 11:22:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
72,THE,,2024-11-27 09:39:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
73,BILLY,,2024-11-27 09:42:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
74,MVL,TRAILING_LONG,2024-11-29 08:50:10+00:00,2385.7931597516354,2385.7931597516354,2385.7931597516354,375006.78399114043,0.006362,2024-11-29T08:55:00+00:00,0.006362,2024-11-29T09:00:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.006385,0.36,0.006362,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
75,COOK,TRAILING_LONG,2024-12-02 09:20:03+00:00,2385.7931597516354,2385.7931597516354,2385.7931597516354,96162.56186020296,0.02481,2024-12-02T09:25:00+00:00,0.02481,2024-12-02T09:30:00+00:00,trailing_stop,15.0,15.0,0.0,2.0,5.0,0.02553,2.9,0.02481,0.08,5.0,0.0,0.0,1.0,2.0,576.0,[],
76,GEMS,,2024-12-04 10:36:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
77,TOSHI,,2024-12-05 10:10:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
78,XION,,2024-12-05 10:50:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
