symbol,timestamp,coin_name,message,exchange,listing_announcement_time,actual_start_time,opening_price,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved,error
PROMPTUSDT,2025-04-10 14:17:46+00:00,PROMPT,$PROMPT listed on Bybit futures,bybit,2025-04-10T14:17:46+00:00,2025-04-10T14:25:00+00:00,0.16704,0.50062,0.55545,0.10179,232.53,-39.06,2510.0,95.0,575.0,48 hours from listing announcement (5m intervals),PROMPTUSDT.json,
PUMPUSDT,2025-04-11 08:12:04+00:00,PUMP,$PUMP listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
RFCUSDT,2025-04-14 07:48:22+00:00,RFC,$RFC listed on Bybit futures,bybit,2025-04-14T07:48:22+00:00,2025-04-14T08:00:00+00:00,0.1152,0.09432,0.13437,0.07689,16.64,-33.26,85.0,1885.0,574.0,48 hours from listing announcement (5m intervals),RFCUSDT.json,
KERNELUSDT,2025-04-14 12:25:04+00:00,KERNEL,$KERNEL listed on Bybit futures,bybit,2025-04-14T12:25:04+00:00,2025-04-14T12:30:00+00:00,0.3387,0.2554,0.3963,0.2222,17.01,-34.4,40.0,1970.0,576.0,48 hours from listing announcement (5m intervals),KERNELUSDT.json,
WCTUSDT,2025-04-15 11:47:11+00:00,WCT,$WCT listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
FHEUSDT,2025-04-16 10:29:24+00:00,FHE,$FHE listed on Bybit futures,bybit,2025-04-16T10:29:24+00:00,2025-04-16T10:45:00+00:00,0.06447,0.07872,0.08348,0.05109,29.49,-20.75,2780.0,1400.0,573.0,48 hours from listing announcement (5m intervals),FHEUSDT.json,
STOUSDT,2025-04-16 10:31:21+00:00,STO,$STO listed on Bybit futures,bybit,2025-04-16T10:31:21+00:00,2025-04-16T10:45:00+00:00,0.10213,0.09399,0.10951,0.08887,7.23,-12.98,100.0,1975.0,574.0,48 hours from listing announcement (5m intervals),STOUSDT.json,
EPTUSDT,2025-04-21 12:43:24+00:00,EPT,$EPT listed on Bybit futures,bybit,2025-04-21T12:43:24+00:00,2025-04-21T12:50:00+00:00,0.01951,0.012,0.02122,0.011,8.76,-43.62,0.0,1830.0,575.0,48 hours from listing announcement (5m intervals),EPTUSDT.json,
HYPERUSDT,2025-04-22 12:16:36+00:00,HYPER,$HYPER listed on Bybit futures,bybit,2025-04-22T12:16:36+00:00,2025-04-22T12:25:00+00:00,0.2409,0.2034,0.3682,0.1985,52.84,-17.6,770.0,2660.0,575.0,48 hours from listing announcement (5m intervals),HYPERUSDT.json,
INITUSDT,2025-04-24 11:23:20+00:00,INIT,$INIT listed on Bybit futures,bybit,2025-04-24T11:23:20+00:00,2025-04-24T11:25:00+00:00,0.6682,0.8468,0.9894,0.584,48.07,-12.6,1490.0,110.0,576.0,48 hours from listing announcement (5m intervals),INITUSDT.json,
OBTUSDT,2025-04-25 10:48:35+00:00,OBT,$OBT listed on Bybit futures,bybit,2025-04-25T10:48:35+00:00,2025-04-25T11:00:00+00:00,0.0133,0.0125,0.0138,0.01206,3.76,-9.32,95.0,2310.0,574.0,48 hours from listing announcement (5m intervals),OBTUSDT.json,
ZORAUSDT,2025-04-25 11:08:11+00:00,ZORA,$ZORA listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
DARKUSDT,2025-04-27 07:05:05+00:00,DARK,$DARK listed on Bybit futures,bybit,2025-04-27T07:05:05+00:00,2025-04-27T07:10:00+00:00,0.03483,0.02398,0.03812,0.02061,9.45,-40.83,60.0,2740.0,576.0,48 hours from listing announcement (5m intervals),DARKUSDT.json,
CLANKERUSDT,2025-04-28 10:43:56+00:00,CLANKER,$CLANKER listed on Bybit futures,bybit,2025-04-28T10:43:56+00:00,2025-04-28T10:50:00+00:00,42.12,40.39,44.0,37.3,4.46,-11.44,1205.0,310.0,575.0,48 hours from listing announcement (5m intervals),CLANKERUSDT.json,
SIGNUSDT,2025-04-28 11:17:06+00:00,SIGN,$SIGN listed on Bybit futures,bybit,2025-04-28T11:17:06+00:00,2025-04-28T11:20:00+00:00,0.07739,0.09823,0.126,0.0665,62.81,-14.07,1145.0,1135.0,576.0,48 hours from listing announcement (5m intervals),SIGNUSDT.json,
PUNDIXUSDT,2025-04-30 11:53:25+00:00,PUNDIX,$PUNDIX listed on Bybit futures,bybit,2025-04-30T11:53:25+00:00,2025-04-30T12:00:00+00:00,0.5274,0.5164,0.5544,0.4034,5.12,-23.51,20.0,2265.0,575.0,48 hours from listing announcement (5m intervals),PUNDIXUSDT.json,
HAEDALUSDT,2025-04-30 11:56:51+00:00,HAEDAL,$HAEDAL listed on Bybit futures,bybit,2025-04-30T11:56:51+00:00,2025-04-30T12:05:00+00:00,0.0802,0.14788,0.17599,0.0802,119.44,0.0,2400.0,0.0,575.0,48 hours from listing announcement (5m intervals),HAEDALUSDT.json,
GORKUSDT,2025-05-05 10:32:05+00:00,GORK,$GORK listed on Bybit futures,bybit,2025-05-05T10:32:05+00:00,2025-05-05T10:35:00+00:00,0.07084,0.03621,0.07342,0.02411,3.64,-65.97,10.0,2065.0,576.0,48 hours from listing announcement (5m intervals),GORKUSDT.json,
MILKUSDT,2025-05-06 11:29:54+00:00,MILK,$MILK listed on Bybit futures,bybit,2025-05-06T11:29:54+00:00,2025-05-06T11:40:00+00:00,0.1205,0.1095,0.1355,0.0981,12.45,-18.59,55.0,1705.0,574.0,48 hours from listing announcement (5m intervals),MILKUSDT.json,
OBOLUSDT,2025-05-07 11:34:45+00:00,OBOL,$OBOL listed on Bybit futures,bybit,2025-05-07T11:34:45+00:00,2025-05-07T11:45:00+00:00,0.3639,0.2659,0.3682,0.2379,1.18,-34.62,0.0,2035.0,574.0,48 hours from listing announcement (5m intervals),OBOLUSDT.json,
BANKUSDT,2025-05-08 09:04:26+00:00,BANK,$BANK listed on Bybit futures,bybit,2025-05-08T09:04:26+00:00,2025-05-08T09:10:00+00:00,0.05581,0.06579,0.07929,0.05468,42.07,-2.02,955.0,0.0,575.0,48 hours from listing announcement (5m intervals),BANKUSDT.json,
SXTUSDT,2025-05-08 13:23:30+00:00,SXT,$SXT listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
DOODUSDT,2025-05-09 13:34:06+00:00,DOOD,$DOOD listed on Bybit futures,bybit,2025-05-09T13:34:06+00:00,2025-05-09T13:40:00+00:00,0.007295,0.006967,0.009283,0.006588,27.25,-9.69,485.0,70.0,575.0,48 hours from listing announcement (5m intervals),DOODUSDT.json,
SKYAIUSDT,2025-05-13 10:25:47+00:00,SKYAI,$SKYAI listed on Bybit futures,bybit,2025-05-13T10:25:47+00:00,2025-05-13T10:35:00+00:00,0.06019,0.07091,0.0968,0.05889,60.82,-2.16,855.0,0.0,575.0,48 hours from listing announcement (5m intervals),SKYAIUSDT.json,
LAUNCHCOINUSDT,2025-05-14 09:09:57+00:00,LAUNCHCOIN,$LAUNCHCOIN listed on Bybit futures,bybit,2025-05-14T09:09:57+00:00,2025-05-14T10:00:00+00:00,0.18889,0.21842,0.37499,0.17118,98.52,-9.38,890.0,160.0,566.0,48 hours from listing announcement (5m intervals),LAUNCHCOINUSDT.json,
NXPCUSDT,2025-05-15 06:25:04+00:00,NXPC,$NXPC listed on Bybit futures,bybit,2025-05-15T06:25:04+00:00,2025-05-15T06:30:00+00:00,2.4186,2.3148,3.62,2.2902,49.67,-5.31,150.0,2615.0,576.0,48 hours from listing announcement (5m intervals),NXPCUSDT.json,
SYRUPUSDT,2025-05-19 07:48:36+00:00,SYRUP,$SYRUP listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
PRAIUSDT,2025-05-19 08:20:17+00:00,PRAI,$PRAI listed on Bybit futures,bybit,2025-05-19T08:20:17+00:00,2025-05-19T08:25:00+00:00,0.08027,0.07874,0.08393,0.07705,4.56,-4.01,90.0,1615.0,576.0,48 hours from listing announcement (5m intervals),PRAIUSDT.json,
SAROSUSDT,2025-05-20 08:18:06+00:00,SAROS,$SAROS listed on Bybit futures,bybit,2025-05-20T08:18:06+00:00,2025-05-20T08:20:00+00:00,0.15211,0.17025,0.17157,0.1496,12.79,-1.65,45.0,35.0,576.0,48 hours from listing announcement (5m intervals),SAROSUSDT.json,
AWEUSDT,2025-05-22 09:32:46+00:00,AWE,$AWE listed on Bybit futures,bybit,2025-05-22T09:32:46+00:00,2025-05-22T09:35:00+00:00,0.06883,0.06629,0.072,0.0633,4.61,-8.03,30.0,2360.0,576.0,48 hours from listing announcement (5m intervals),AWEUSDT.json,
BUSDT,2025-05-23 06:18:10+00:00,B,$B listed on Bybit futures,bybit,2025-05-23T06:18:10+00:00,2025-05-23T06:20:00+00:00,0.28719,0.34235,0.351,0.12847,22.22,-55.27,2715.0,285.0,576.0,48 hours from listing announcement (5m intervals),BUSDT.json,
SOONUSDT,2025-05-23 09:03:28+00:00,SOON,$SOON listed on Bybit futures,bybit,2025-05-23T09:03:28+00:00,2025-05-23T09:05:00+00:00,0.5417,0.3983,0.6475,0.388,19.53,-28.37,60.0,2140.0,576.0,48 hours from listing announcement (5m intervals),SOONUSDT.json,
HUMAUSDT,2025-05-26 13:07:28+00:00,HUMA,$HUMA listed on Bybit futures,bybit,2025-05-26T13:07:28+00:00,2025-05-26T13:10:00+00:00,0.07251,0.05429,0.07764,0.0538,7.07,-25.8,5.0,2520.0,576.0,48 hours from listing announcement (5m intervals),HUMAUSDT.json,
AGTUSDT,2025-05-28 06:32:38+00:00,AGT,$AGT listed on Bybit futures,bybit,2025-05-28T06:32:38+00:00,2025-05-28T06:35:00+00:00,0.034618,0.03199,0.036603,0.031288,5.73,-9.62,45.0,2545.0,576.0,48 hours from listing announcement (5m intervals),AGTUSDT.json,
AUSDT,2025-05-28 08:26:08+00:00,A,$A listed on Bybit futures,bybit,2025-05-28T08:26:08+00:00,2025-05-28T08:35:00+00:00,0.7708,0.6947,0.7983,0.6782,3.57,-12.01,0.0,2345.0,575.0,48 hours from listing announcement (5m intervals),AUSDT.json,
SOPHUSDT,2025-05-28 13:07:59+00:00,SOPH,$SOPH listed on Bybit futures,bybit,2025-05-28T13:07:59+00:00,2025-05-28T13:10:00+00:00,0.07286,0.05633,0.07615,0.05012,4.52,-31.21,5.0,2665.0,576.0,48 hours from listing announcement (5m intervals),SOPHUSDT.json,
BDXNUSDT,2025-06-03 10:57:08+00:00,BDXN,$BDXN listed on Bybit futures,bybit,2025-06-03T10:57:08+00:00,2025-06-03T11:00:00+00:00,0.07488,0.05442,0.07752,0.05297,3.53,-29.26,0.0,2840.0,576.0,48 hours from listing announcement (5m intervals),BDXNUSDT.json,
LAUSDT,2025-06-05 05:54:38+00:00,LA,$LA listed on Bybit futures,bybit,2025-06-05T05:54:38+00:00,2025-06-05T06:00:00+00:00,1.4215,1.191,1.7958,0.9878,26.33,-30.51,1165.0,185.0,575.0,48 hours from listing announcement (5m intervals),LAUSDT.json,
B2USDT,2025-06-09 09:22:17+00:00,B2,$B2 listed on Bybit futures,bybit,2025-06-09T09:22:17+00:00,2025-06-09T09:25:00+00:00,0.5583,0.4752,0.5873,0.4686,5.19,-16.07,0.0,2840.0,576.0,48 hours from listing announcement (5m intervals),B2USDT.json,
SKATEUSDT,2025-06-09 10:23:29+00:00,SKATE,$SKATE listed on Bybit futures,bybit,2025-06-09T10:23:29+00:00,2025-06-09T10:25:00+00:00,0.07939,0.05016,0.08228,0.04742,3.64,-40.27,0.0,2200.0,576.0,48 hours from listing announcement (5m intervals),SKATEUSDT.json,
