symbol,timestamp,coin_name,message,exchange,listing_announcement_time,actual_start_time,opening_price,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved,error
BLUEUSDT,2024-12-18 09:07:04+00:00,BLUE,$BLUE listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
AIXBTUSDT,2024-12-20 09:07:07+00:00,AIXBT,$AIXBT listed on Bybit futures,bybit,2024-12-20T09:07:07+00:00,2024-12-20T09:10:00+00:00,0.2389,0.3043,0.38,0.2095,59.06,-12.31,1625.0,185.0,576.0,48 hours from listing announcement (5m intervals),AIXBTUSDT.json,
NSUSDT,2024-12-20 09:08:09+00:00,NS,$NS listed on Bybit futures,bybit,2024-12-20T09:08:09+00:00,2024-12-20T09:10:00+00:00,0.2025,0.2188,0.2756,0.1779,36.1,-12.15,1260.0,170.0,576.0,48 hours from listing announcement (5m intervals),NSUSDT.json,
GRIFFAINUSDT,2024-12-20 09:09:11+00:00,GRIFFAIN,$GRIFFAIN listed on Bybit futures,bybit,2024-12-20T09:09:11+00:00,2024-12-20T09:10:00+00:00,0.16859,0.20606,0.29877,0.1482,77.22,-12.09,870.0,160.0,576.0,48 hours from listing announcement (5m intervals),GRIFFAINUSDT.json,
FARTCOINUSDT,2024-12-20 09:24:25+00:00,FARTCOIN,$FARTCOIN listed on Bybit futures,bybit,2024-12-20T09:24:25+00:00,2024-12-20T09:25:00+00:00,1.0164,0.802,1.3408,0.72,31.92,-29.16,395.0,2415.0,576.0,48 hours from listing announcement (5m intervals),FARTCOINUSDT.json,
ZENTUSDT,2024-12-23 09:37:51+00:00,ZENT,$ZENT listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
HIVEUSDT,2024-12-23 11:01:55+00:00,HIVE,$HIVE listed on Bybit futures,bybit,2024-12-23T11:01:55+00:00,2024-12-23T11:05:00+00:00,0.3661,0.333,0.3887,0.3242,6.17,-11.44,795.0,2410.0,576.0,48 hours from listing announcement (5m intervals),HIVEUSDT.json,
SOLOUSDT,2024-12-25 09:02:01+00:00,SOLO,$SOLO listed on Bybit futures,bybit,2024-12-25T09:02:01+00:00,2024-12-26T10:00:00+00:00,0.3953,0.4536,0.4829,0.3911,22.16,-1.06,360.0,0.0,277.0,48 hours from listing announcement (5m intervals),SOLOUSDT.json,
AI16ZUSDT,2024-12-30 08:30:44+00:00,AI16Z,$AI16Z listed on Bybit futures,bybit,2024-12-30T08:30:44+00:00,2024-12-30T08:35:00+00:00,1.3181,1.9343,1.975,1.2612,49.84,-4.32,2865.0,80.0,576.0,48 hours from listing announcement (5m intervals),AI16ZUSDT.json,
ZEREBROUSDT,2024-12-30 08:31:44+00:00,ZEREBRO,$ZEREBRO listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
FUELUSDT,2024-12-31 13:13:19+00:00,FUEL,$FUEL listed on Bybit futures,bybit,2024-12-31T13:13:19+00:00,2024-12-31T13:15:00+00:00,0.07185,0.0674,0.07448,0.06048,3.66,-15.82,1565.0,1045.0,576.0,48 hours from listing announcement (5m intervals),FUELUSDT.json,
ARCUSDT,2025-01-03 09:09:05+00:00,ARC,$ARC listed on Bybit futures,bybit,2025-01-03T09:09:05+00:00,2025-01-03T09:10:00+00:00,0.33026,0.40918,0.43439,0.2936,31.53,-11.1,2505.0,200.0,576.0,48 hours from listing announcement (5m intervals),ARCUSDT.json,
SWARMSUSDT,2025-01-06 09:01:54+00:00,SWARMS,$SWARMS listed on Bybit futures,bybit,2025-01-06T09:01:54+00:00,2025-01-06T09:05:00+00:00,0.34316,0.3604,0.62689,0.3374,82.68,-1.68,1430.0,10.0,576.0,48 hours from listing announcement (5m intervals),SWARMSUSDT.json,
COOKIEUSDT,2025-01-07 08:03:00+00:00,COOKIE,$COOKIE listed on Bybit futures,bybit,2025-01-07T08:03:00+00:00,2025-01-07T08:05:00+00:00,0.5481,0.4496,0.71,0.4467,29.54,-18.5,355.0,2875.0,576.0,48 hours from listing announcement (5m intervals),COOKIEUSDT.json,
ALCHUSDT,2025-01-07 08:05:00+00:00,ALCH,$ALCH listed on Bybit futures,bybit,2025-01-07T08:05:00+00:00,2025-01-07T08:05:00+00:00,0.17046,0.14174,0.23,0.13706,34.93,-19.59,535.0,2865.0,577.0,48 hours from listing announcement (5m intervals),ALCHUSDT.json,
SONICUSDT,2025-01-07 12:55:14+00:00,SONIC,$SONIC listed on Bybit futures,bybit,2025-01-07T12:55:14+00:00,2025-01-07T13:00:00+00:00,0.8019,0.7656,1.198,0.7394,49.4,-7.79,260.0,2810.0,576.0,48 hours from listing announcement (5m intervals),SONICUSDT.json,
AVAAIUSDT,2025-01-08 08:01:08+00:00,AVAAI,$AVAAI listed on Bybit futures,bybit,2025-01-08T08:01:08+00:00,2025-01-08T10:00:00+00:00,0.18332,0.24189,0.26,0.15967,41.83,-12.9,2490.0,1690.0,553.0,48 hours from listing announcement (5m intervals),AVAAIUSDT.json,
