profit_target_pct,stop_loss_pct,max_hold_hours,total_trades,win_rate,avg_profit_pct,median_profit_pct,max_profit_pct,min_profit_pct,std_profit_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,avg_hold_time_hours,initial_capital,final_capital,total_return_pct,profit_target_hits,stop_loss_hits,max_hold_exits,end_of_data_exits
5,25,48,143,76.92,-0.18,5.0,5.0,-25.0,10.36,4.96,-17.3,-0.017,10.03,2000.0,638.01,-68.1,109,17,0,17
30,25,2,143,45.45,-0.17,-0.37,30.0,-25.0,11.35,8.35,-7.27,-0.015,1.92,2000.0,634.65,-68.27,8,6,129,0
100,25,2,143,45.45,-0.16,-0.37,54.01,-25.0,11.82,8.36,-7.27,-0.014,1.96,2000.0,610.4,-69.48,0,6,137,0
10,10,12,143,44.76,-0.43,-2.11,10.0,-10.0,8.97,9.0,-8.07,-0.048,4.29,2000.0,604.63,-69.77,54,56,33,0
5,15,4,143,60.84,-0.55,5.0,5.0,-15.0,7.51,4.66,-8.65,-0.074,1.73,2000.0,586.57,-70.67,80,24,39,0
20,25,2,143,45.45,-0.29,-0.37,20.0,-25.0,10.59,8.08,-7.27,-0.027,1.84,2000.0,581.66,-70.92,16,6,121,0
30,15,2,143,44.06,-0.34,-0.64,30.0,-15.0,10.6,8.07,-6.96,-0.032,1.81,2000.0,573.47,-71.33,8,21,114,0
100,15,2,143,44.06,-0.33,-0.64,54.01,-15.0,11.1,8.08,-6.96,-0.03,1.86,2000.0,551.55,-72.42,0,21,122,0
5,15,48,143,69.23,-0.53,5.0,5.0,-15.0,8.55,4.95,-12.85,-0.062,6.96,2000.0,535.12,-73.24,98,34,0,11
10,10,6,143,44.06,-0.56,-2.37,10.0,-10.0,8.55,8.37,-7.6,-0.066,2.75,2000.0,526.16,-73.69,47,49,47,0
5,25,12,143,68.53,-0.44,5.0,5.0,-25.0,9.33,4.95,-12.19,-0.047,4.23,2000.0,525.75,-73.71,96,11,36,0
5,15,24,143,67.13,-0.56,5.0,5.0,-15.0,8.4,4.95,-11.8,-0.066,4.89,2000.0,523.41,-73.83,95,32,16,0
20,15,2,143,44.06,-0.5,-0.64,20.0,-15.0,9.73,7.7,-6.96,-0.051,1.74,2000.0,499.94,-75.0,14,21,108,0
10,25,4,143,50.35,-0.37,0.14,10.0,-25.0,10.56,8.12,-8.97,-0.035,2.69,2000.0,498.05,-75.1,55,9,79,0
5,25,24,143,71.33,-0.47,5.0,5.0,-25.0,9.82,4.95,-13.95,-0.048,6.88,2000.0,466.01,-76.7,101,13,28,1
5,20,24,143,70.63,-0.53,5.0,5.0,-20.0,9.44,4.95,-13.71,-0.056,6.08,2000.0,460.05,-77.0,100,22,20,1
15,15,12,143,44.76,-0.27,-2.03,15.0,-15.0,12.39,12.19,-10.36,-0.022,6.13,2000.0,451.5,-77.42,47,44,52,0
10,15,12,143,50.35,-0.48,0.78,10.0,-15.0,10.54,9.11,-10.2,-0.045,5.17,2000.0,442.07,-77.9,62,38,43,0
15,25,4,143,45.45,-0.29,-1.11,15.0,-25.96,12.17,10.34,-9.15,-0.024,3.09,2000.0,430.22,-78.49,40,10,93,0
15,20,6,143,46.85,-0.29,-1.0,15.0,-20.0,12.55,11.06,-10.3,-0.023,4.24,2000.0,409.31,-79.53,42,21,80,0
10,15,4,143,47.55,-0.64,-0.2,10.0,-15.0,9.55,8.01,-8.47,-0.067,2.44,2000.0,408.43,-79.58,51,29,63,0
15,15,4,143,42.66,-0.53,-1.57,15.0,-15.0,10.97,10.16,-8.48,-0.048,2.81,2000.0,395.53,-80.22,37,32,74,0
5,20,48,143,73.43,-0.6,5.0,5.0,-20.0,9.82,4.95,-15.93,-0.061,8.41,2000.0,393.36,-80.33,104,26,0,13
