profit_target_pct,stop_loss_pct,max_hold_hours,total_trades,win_rate,avg_profit_pct,median_profit_pct,max_profit_pct,min_profit_pct,std_profit_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,avg_hold_time_hours,initial_capital,final_capital,total_return_pct,profit_target_hits,stop_loss_hits,max_hold_exits,end_of_data_exits
30,2,6,143,13.99,0.48,-2.0,30.0,-2.0,7.47,15.71,-2.0,0.064,1.28,2000.0,2803.54,40.18,6,123,14,0
5,2,12,143,32.87,0.29,-2.0,5.0,-2.0,3.27,4.96,-2.0,0.088,0.55,2000.0,2802.19,40.11,46,96,1,0
5,25,1,143,60.14,0.43,1.88,6.39,-25.0,6.05,4.19,-5.24,0.071,0.69,2000.0,2777.61,38.88,64,2,77,0
5,2,6,143,32.87,0.28,-2.0,5.41,-2.0,3.27,4.94,-2.0,0.086,0.51,2000.0,2775.34,38.77,45,96,2,0
5,2,2,143,32.87,0.27,-2.0,5.0,-2.0,3.21,4.78,-1.93,0.085,0.41,2000.0,2750.66,37.53,44,92,7,0
10,2,4,143,21.68,0.32,-2.0,10.0,-2.0,4.57,8.58,-1.97,0.069,0.68,2000.0,2730.86,36.54,25,110,8,0
5,10,1,143,58.74,0.35,1.55,6.39,-10.0,5.32,4.17,-5.08,0.066,0.63,2000.0,2689.6,34.48,62,20,61,0
5,2,24,143,32.17,0.26,-2.0,5.0,-2.0,3.27,5.0,-1.99,0.079,0.63,2000.0,2679.48,33.97,46,96,1,0
5,2,48,143,32.17,0.25,-2.0,5.0,-2.0,3.27,5.0,-2.0,0.077,0.65,2000.0,2658.69,32.93,46,97,0,0
15,2,6,143,16.78,0.33,-2.0,15.0,-2.0,5.57,11.88,-2.0,0.059,0.95,2000.0,2610.18,30.51,17,119,7,0
100,2,48,143,6.29,0.8,-2.0,100.0,-2.0,13.64,42.47,-2.0,0.059,4.48,2000.0,2578.54,28.93,2,134,0,7
5,5,6,143,51.75,0.29,5.0,5.41,-5.0,4.85,4.9,-4.66,0.06,1.3,2000.0,2556.98,27.85,71,61,11,0
10,20,2,143,51.75,0.54,0.07,10.0,-20.0,8.51,7.12,-6.53,0.063,1.51,2000.0,2520.63,26.03,48,6,89,0
25,2,24,143,10.49,0.41,-2.0,25.0,-2.0,7.5,20.89,-1.99,0.054,2.06,2000.0,2517.45,25.87,12,127,4,0
15,5,2,143,37.76,0.4,-2.4,15.0,-5.14,7.13,7.91,-4.15,0.056,1.16,2000.0,2516.71,25.84,22,64,57,0
5,2,4,143,32.17,0.21,-2.0,5.0,-2.0,3.22,4.84,-1.98,0.065,0.47,2000.0,2511.3,25.56,44,96,3,0
50,2,6,143,13.29,0.43,-2.0,50.0,-2.0,8.23,16.33,-2.0,0.053,1.34,2000.0,2506.85,25.34,2,124,17,0
