symbol,trade_type,first_message_timestamp,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,trade_open_price,trade_close_price,trade_open_time,trade_close_time,exit_reason,target_price,stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,profit_target_pct,stop_loss_pct,max_hold_hours,data_points_used,total_data_points,error
IO,LONG,2024-06-11 12:32:05+00:00,2000.0,2300.0,2000.0,1092.2992900054614,1.831,2024-06-11T14:00:00+00:00,2.10565,2024-06-11T14:05:00+00:00,1.831,2.10565,2024-06-11T14:00:00+00:00,2024-06-11T14:05:00+00:00,target_hit,2.10565,1.7943799999999999,0.08,5.0,15.0,300.0,15.0,2.0,2.0,2.0,576.0,
ZK,LONG,2024-06-17 10:31:03+00:00,2300.0,2473.181049069374,2300.0,9729.27241962775,0.2364,2024-06-17T11:05:00+00:00,0.2542,2024-06-17T13:05:00+00:00,0.2364,0.2542,2024-06-17T11:05:00+00:00,2024-06-17T13:05:00+00:00,time_limit,0.27186,0.231672,2.0,120.0,7.53,173.18,15.0,2.0,2.0,25.0,576.0,
MEW,LONG,2024-06-17 12:02:04+00:00,2473.181049069374,2654.9092518610414,2473.181049069374,559163.7008974393,0.004423,2024-06-17T14:00:00+00:00,0.004748,2024-06-17T16:00:00+00:00,0.004423,0.004748,2024-06-17T14:00:00+00:00,2024-06-17T16:00:00+00:00,time_limit,0.005086449999999999,0.00433454,2.0,120.0,7.35,181.73,15.0,2.0,2.0,25.0,576.0,
LISTA,LONG,2024-06-20 10:31:04+00:00,2654.9092518610414,2601.8110668238205,2654.9092518610414,3900.2633345982686,0.6807,2024-06-20T12:30:00+00:00,0.667086,2024-06-20T12:55:00+00:00,0.6807,0.667086,2024-06-20T12:30:00+00:00,2024-06-20T12:55:00+00:00,stop_loss_hit,0.7828049999999999,0.667086,0.42,25.0,-2.0,-53.1,15.0,2.0,2.0,6.0,576.0,
ZRO,LONG,2024-06-20 13:32:13+00:00,2601.8110668238205,2549.774845487344,2601.8110668238205,713.215752967056,3.648,2024-06-20T14:30:00+00:00,3.57504,2024-06-20T15:05:00+00:00,3.648,3.57504,2024-06-20T14:30:00+00:00,2024-06-20T15:05:00+00:00,stop_loss_hit,4.1952,3.57504,0.58,35.0,-2.0,-52.04,15.0,2.0,2.0,8.0,576.0,
RENDER,LONG,2024-07-26 08:33:52+00:00,2549.774845487344,2627.0292176715125,2549.774845487344,380.5634097742304,6.7,2024-07-26T10:00:00+00:00,6.903,2024-07-26T12:00:00+00:00,6.7,6.903,2024-07-26T10:00:00+00:00,2024-07-26T12:00:00+00:00,time_limit,7.704999999999999,6.566,2.0,120.0,3.03,77.25,15.0,2.0,2.0,25.0,576.0,
BANANA,LONG,2024-08-14 12:00:24+00:00,2627.0292176715125,2717.4956491214416,2627.0292176715125,60.39147626831063,43.5,2024-08-15T02:00:00+00:00,44.998,2024-08-15T04:00:00+00:00,43.5,44.998,2024-08-15T02:00:00+00:00,2024-08-15T04:00:00+00:00,time_limit,50.025,42.63,2.0,120.0,3.44,90.47,15.0,2.0,2.0,25.0,576.0,
G,LONG,2024-08-15 09:00:12+00:00,2717.4956491214416,2663.145736139013,2717.4956491214416,67599.39425675228,0.0402,2024-08-15T12:30:00+00:00,0.039396,2024-08-15T12:45:00+00:00,0.0402,0.039396,2024-08-15T12:30:00+00:00,2024-08-15T12:45:00+00:00,stop_loss_hit,0.04622999999999999,0.039396,0.25,15.0,-2.0,-54.35,15.0,2.0,2.0,4.0,576.0,
RARE,LONG,2024-08-15 09:00:12+00:00,2663.145736139013,3062.617596559865,2663.145736139013,31704.11590641682,0.084,2024-08-15T13:00:00+00:00,0.0966,2024-08-15T15:00:00+00:00,0.084,0.0966,2024-08-15T13:00:00+00:00,2024-08-15T15:00:00+00:00,target_hit,0.0966,0.08232,2.0,120.0,15.0,399.47,15.0,2.0,2.0,25.0,576.0,
SYN,LONG,2024-08-16 08:30:05+00:00,3062.617596559865,3522.0102360438445,3062.617596559865,6633.349786787665,0.4617,2024-08-16T12:30:00+00:00,0.530955,2024-08-16T14:10:00+00:00,0.4617,0.530955,2024-08-16T12:30:00+00:00,2024-08-16T14:10:00+00:00,target_hit,0.530955,0.452466,1.67,100.0,15.0,459.39,15.0,2.0,2.0,21.0,576.0,
SYS,LONG,2024-08-19 07:00:15+00:00,3522.0102360438445,4050.311771450421,3522.0102360438445,20717.707270846142,0.17,2024-08-19T12:30:00+00:00,0.1955,2024-08-19T12:40:00+00:00,0.17,0.1955,2024-08-19T12:30:00+00:00,2024-08-19T12:40:00+00:00,target_hit,0.1955,0.1666,0.17,10.0,15.0,528.3,15.0,2.0,2.0,3.0,576.0,
