symbol,timestamp,coin_name,message,opening_price,opening_price_time,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved,error
HOMEUSDT,2025-06-09 07:15:26+00:00,HOME,$HOME listed on Binance futures,0.025,2025-06-10T11:30:00+00:00,0.037312,0.042688,0.018363,70.75,-26.55,2855.0,290.0,576.0,48 hours from listing (5m intervals),HOMEUSDT.json,
SKATEUSDT,2025-06-06 05:30:09+00:00,SKATE,$SKATE listed on Binance alpha and futures,0.0756,2025-06-09T10:30:00+00:00,0.04954,0.0784,0.04746,3.7,-37.22,0.0,2195.0,576.0,48 hours from listing (5m intervals),SKATEUSDT.json,
LAUSDT,2025-06-05 06:06:31+00:00,LA,$LA listed on Binance futures,1.039,2025-06-05T09:00:00+00:00,1.188,1.794,0.988,72.67,-4.91,985.0,0.0,576.0,48 hours from listing (5m intervals),LAUSDT.json,
BOBUSDT,2025-06-04 10:47:46+00:00,BOB,$BOB listed on Binance futures,,,,,,,,,,,,,not currently listed on Binance futures
BOBUSDT,2025-06-04 10:47:46+00:00,BOB,$BOB listed on Binance futures,,,,,,,,,,,,,not currently listed on Binance futures
RESOLVUSDT,2025-06-04 07:00:07+00:00,RESOLV,$RESOLV listed on Binance alpha and futures,0.20204,2025-06-10T13:30:00+00:00,0.3138,0.412,0.17264,103.92,-14.55,1655.0,10.0,576.0,48 hours from listing (5m intervals),RESOLVUSDT.json,
PUFFERUSDT,2025-06-03 09:14:38+00:00,PUFFER,$PUFFER listed on Binance futures,0.23047,2025-06-04T08:30:00+00:00,0.1932,0.23481,0.18581,1.88,-19.38,0.0,2625.0,576.0,48 hours from listing (5m intervals),PUFFERUSDT.json,
PORT3USDT,2025-06-03 09:14:38+00:00,PORT3,$PORT3 listed on Binance futures,0.04831,2025-06-04T08:45:00+00:00,0.04617,0.05558,0.04461,15.05,-7.66,40.0,2505.0,576.0,48 hours from listing (5m intervals),PORT3USDT.json,
BDXNUSDT,2025-05-30 09:35:07+00:00,BDXN,$BDXN listed on Binance alpha and futures,0.1,2025-06-03T10:30:00+00:00,0.05405,0.10043,0.05301,0.43,-46.99,0.0,2870.0,576.0,48 hours from listing (5m intervals),BDXNUSDT.json,
HYPEUSDT,2025-05-30 08:36:42+00:00,HYPE,$HYPE listed on Binance futures,33.387,2025-05-30T10:30:00+00:00,31.848,34.348,30.724,2.88,-7.98,525.0,1420.0,576.0,48 hours from listing (5m intervals),HYPEUSDT.json,
MERLUSDT,2025-05-28 10:33:51+00:00,MERL,$MERL listed on Binance futures,0.156,2025-05-29T08:30:00+00:00,0.1137,0.156,0.10885,0.0,-30.22,0.0,2385.0,576.0,48 hours from listing (5m intervals),MERLUSDT.json,
HUMAUSDT,2025-05-26 12:30:08+00:00,HUMA,$HUMA listed on Binance futures,0.08413,2025-05-26T13:00:00+00:00,0.054779,0.0999,0.053887,18.74,-35.95,0.0,2530.0,576.0,48 hours from listing (5m intervals),HUMAUSDT.json,
SOPHUSDT,2025-05-23 12:07:30+00:00,SOPH,$SOPH listed on Binance alpha and futures,0.092,2025-05-28T13:00:00+00:00,0.053922,0.092,0.050165,0.0,-45.47,0.0,2675.0,576.0,48 hours from listing (5m intervals),SOPHUSDT.json,
