capital,pnl_amount,pnl_percent,trade_number
2300.0,299.99999999999983,14.999999999999991,1
2473.181049069374,173.18104906937376,7.529610829103207,2
2654.9092518610414,181.72820279166763,7.347953877458734,3
2601.8110668238205,-53.09818503722089,-2.000000000000002,4
2549.774845487344,-52.0362213364765,-2.0000000000000036,5
2627.0292176715125,77.25437218416856,3.029850746268648,6
2717.4956491214416,90.46643144992917,3.443678160919535,7
2663.145736139013,-54.349912982428776,-1.999999999999998,8
3062.617596559865,399.47186042085195,15.0,9
3522.0102360438445,459.39263948397945,14.999999999999991,10
4050.311771450421,528.3015354065766,14.999999999999996,11
3969.3055360214125,-81.00623542900868,-2.0000000000000067,12
3889.919425300984,-79.38611072042832,-2.0000000000000018,13
3812.1210367949643,-77.79838850601959,-1.9999999999999976,14
3735.8786160590653,-76.24242073589906,-1.9999999999999942,15
3975.3377282559895,239.4591121969242,6.409713398277559,16
3895.8309736908695,-79.50675456512006,-2.000000000000007,17
3817.9143542170523,-77.91661947381711,-1.9999999999999927,18
3741.556067132711,-76.35828708434113,-2.000000000000002,19
3901.5995058424346,160.0434387097233,4.2774566473988545,20
3823.567515725586,-78.03199011684885,-2.000000000000004,21
3747.0961654110743,-76.47135031451151,-1.9999999999999944,22
3672.154242102853,-74.94192330822146,-1.9999999999999993,23
3598.711157260796,-73.44308484205686,-1.9999999999999944,24
3526.73693411558,-71.97422314521579,-1.9999999999999962,25
3456.2021954332686,-70.53473868231157,-1.9999999999999993,26
3974.632524748258,518.4303293149899,14.999999999999988,27
3895.139874253293,-79.49265049496545,-2.000000000000007,28
3817.237076768227,-77.90279748506589,-2.000000000000001,29
3740.892335232862,-76.34474153536479,-2.0000000000000067,30
4302.0261855177905,561.1338502849287,14.999999999999982,31
4215.985661807435,-86.04052371035554,-1.9999999999999938,32
4131.665948571285,-84.31971323614889,-2.0000000000000044,33
4751.415840856978,619.7498922856928,15.0,34
4656.387524039838,-95.02831681713964,-2.0000000000000013,35
4563.259773559041,-93.1277504807972,-2.0000000000000093,36
4471.994578087861,-91.26519547118048,-1.9999999999999927,37
4382.554686526103,-89.43989156175739,-2.000000000000004,38
4294.903592795581,-87.65109373052198,-1.999999999999998,39
4209.00552093967,-85.89807185591184,-2.000000000000005,40
4124.825410520876,-84.18011041879359,-2.0000000000000044,41
4042.3289023104585,-82.4965082104176,-2.0000000000000018,42
3961.482324264249,-80.84657804620937,-2.000000000000005,43
3882.2526777789644,-79.22964648528492,-1.9999999999999982,44
3804.6076242233853,-77.6450535555793,-2.0,45
3728.5154717389173,-76.09215248446785,-2.000000000000004,46
3653.9451623041386,-74.57030943477865,-2.000000000000008,47
4036.2605255072153,382.3153632030765,10.463084316295337,48
3955.5353149970706,-80.72521051014458,-2.0000000000000067,49
4548.865612246631,593.3302972495604,14.999999999999996,50
4457.888300001699,-90.97731224493262,-2.0,51
4368.730534001665,-89.15776600003427,-2.0000000000000067,52
4281.355923321631,-87.37461068003367,-2.000000000000009,53
4195.728804855198,-85.62711846643265,-2.000000000000001,54
4262.761158542234,67.03235368703521,1.5976331360946627,55
4902.175332323568,639.4141737813344,14.999999999999986,56
4804.1318256770965,-98.04350664647133,-1.9999999999999993,57
4708.049189163554,-96.08263651354235,-2.000000000000009,58
4613.888205380283,-94.1609837832714,-2.000000000000007,59
5305.971436187325,692.0832308070424,15.0,60
5199.852007463578,-106.11942872374642,-1.9999999999999987,61
5979.829808583115,779.9778011195364,14.999999999999995,62
5988.46891127479,8.639102691675202,0.14447071184659996,63
6886.739247966008,898.2703366912186,15.000000000000002,64
7919.750135160909,1033.0108871949008,14.999999999999995,65
9107.712655435045,1187.962520274136,14.999999999999996,66
10473.8695537503,1366.1568983152558,14.999999999999988,67
10264.392162675294,-209.4773910750064,-2.000000000000004,68
10059.10431942179,-205.28784325350622,-2.000000000000003,69
9857.922233033352,-201.18208638843666,-2.000000000000009,70
9660.763788372686,-197.15844466066702,-1.9999999999999998,71
9467.548512605232,-193.21527576745436,-2.0000000000000067,72
10887.680789496015,1420.1322768907837,14.999999999999988,73
12520.832907920416,1633.1521184244018,14.999999999999996,74
14398.957844108478,1878.1249361880627,15.000000000000002,75
14110.978687226308,-287.97915688216983,-2.000000000000002,76
16227.625490310253,2116.646803083944,14.999999999999986,77
18661.769313856792,2434.143823546538,15.0,78
18288.533927579654,-373.235386277137,-2.000000000000006,79
18970.941909952027,682.4079823723746,3.7313432835820866,80
18591.523071752985,-379.4188381990417,-2.000000000000006,81
18219.692610317925,-371.8304614350596,-1.9999999999999993,82
17855.298758111567,-364.3938522063581,-1.9999999999999976,83
17498.192782949336,-357.10597516223044,-1.999999999999995,84
17148.22892729035,-349.9638556589871,-2.000000000000002,85
19720.463266383904,2572.234339093552,14.999999999999996,86
20955.694288393544,1235.2310220096413,6.263701847792051,87
20536.580402625674,-419.1138857678712,-2.0000000000000013,88
20125.848794573158,-410.7316080525147,-2.0000000000000058,89
20964.69128416442,838.8424895912624,4.167985649467129,90
20545.39745848113,-419.29382568328856,-2.000000000000001,91
20352.78435730787,-192.6131011732591,-0.9374999999999929,92
19945.728670161712,-407.0556871461578,-2.0000000000000018,93
19546.814096758477,-398.91457340323626,-2.00000000000001,94
19155.877814823307,-390.93628193517014,-2.000000000000003,95
18772.76025852684,-383.11755629646575,-1.999999999999998,96
18397.305053356304,-375.4552051705375,-2.000000000000004,97
18029.358952289178,-367.9461010671272,-2.0000000000000058,98
17668.771773243392,-360.58717904578424,-2.000000000000004,99
17315.396337778522,-353.37543546486893,-2.000000000000006,100
