symbol,error,first_message_timestamp,trade_type,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,trade_open_price,trade_close_price,trade_open_time,trade_close_time,exit_reason,target_price,stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,profit_target_pct,stop_loss_pct,max_hold_hours,data_points_used,total_data_points
SERAPH,failed_to_load_data,2025-06-09 12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
OL,failed_to_load_data,2025-06-08 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
AB,failed_to_load_data,2025-06-07 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
HOME,,2025-06-06 12:10:37+00:00,LONG,2000.0,1960.0,2000.0,80000.0,0.025,2025-06-10T11:30:00+00:00,0.0245,2025-06-10T11:35:00+00:00,0.025,0.0245,2025-06-10T11:30:00+00:00,2025-06-10T11:35:00+00:00,stop_loss_hit,0.028749999999999998,0.0245,0.08,5.0,-2.0,-40.0,15.0,2.0,2.0,2.0,576.0
SKATE,,2025-06-06 05:30:09+00:00,LONG,1960.0,1920.8,1960.0,25925.925925925927,0.0756,2025-06-09T10:30:00+00:00,0.074088,2025-06-09T10:35:00+00:00,0.0756,0.074088,2025-06-09T10:30:00+00:00,2025-06-09T10:35:00+00:00,stop_loss_hit,0.08693999999999999,0.074088,0.08,5.0,-2.0,-39.2,15.0,2.0,2.0,2.0,576.0
CUDIS,failed_to_load_data,2025-06-05 10:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
POKT,failed_to_load_data,2025-06-04 13:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
CA,failed_to_load_data,2025-06-04 13:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
FLY,failed_to_load_data,2025-06-04 09:17:43+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
RESOLV,,2025-06-04 07:00:07+00:00,LONG,1920.8,1882.3839999999998,1920.8,9507.0283112255,0.20204,2025-06-10T13:30:00+00:00,0.1979992,2025-06-10T13:35:00+00:00,0.20204,0.1979992,2025-06-10T13:30:00+00:00,2025-06-10T13:35:00+00:00,stop_loss_hit,0.23234599999999997,0.1979992,0.08,5.0,-2.0,-38.42,15.0,2.0,2.0,2.0,576.0
LA,,2025-06-03 10:30:39+00:00,LONG,1882.3839999999998,1844.7363199999998,1882.3839999999998,1811.7266602502405,1.039,2025-06-05T09:00:00+00:00,1.01822,2025-06-05T09:05:00+00:00,1.039,1.01822,2025-06-05T09:00:00+00:00,2025-06-05T09:05:00+00:00,stop_loss_hit,1.1948499999999997,1.01822,0.08,5.0,-2.0,-37.65,15.0,2.0,2.0,2.0,576.0
ZRC,failed_to_load_data,2025-06-03 08:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
SQD,,2025-06-02 13:00:00+00:00,LONG,1844.7363199999998,2121.446768,1844.7363199999998,8108.374664849896,0.22751,2025-06-11T12:45:00+00:00,0.2616365,2025-06-11T12:50:00+00:00,0.22751,0.2616365,2025-06-11T12:45:00+00:00,2025-06-11T12:50:00+00:00,target_hit,0.2616365,0.22295979999999999,0.08,5.0,15.0,276.71,15.0,2.0,2.0,2.0,576.0
