symbol,error,first_message_timestamp,trade_type,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,trade_open_price,trade_close_price,trade_open_time,trade_close_time,exit_reason,target_price,stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,profit_target_pct,stop_loss_pct,max_hold_hours,data_points_used,total_data_points
TAIKO,,2025-05-31 06:00:00+00:00,LONG,2121.446768,2363.1252287241587,2121.446768,4225.147914758016,0.5021,2025-06-11T12:30:00+00:00,0.5593,2025-06-11T14:30:00+00:00,0.5021,0.5593,2025-06-11T12:30:00+00:00,2025-06-11T14:30:00+00:00,time_limit,0.5774149999999999,0.492058,2.0,120.0,11.39,241.68,15.0,2.0,2.0,25.0,576.0
BDXN,,2025-05-30 09:35:07+00:00,LONG,2363.1252287241587,2315.8627241496756,2363.1252287241587,23631.252287241587,0.1,2025-06-03T10:30:00+00:00,0.098,2025-06-03T10:35:00+00:00,0.1,0.098,2025-06-03T10:30:00+00:00,2025-06-03T10:35:00+00:00,stop_loss_hit,0.11499999999999999,0.098,0.08,5.0,-2.0,-47.26,15.0,2.0,2.0,2.0,576.0
EDGEN,failed_to_load_data,2025-05-30 03:28:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
RDO,failed_to_load_data,2025-05-29 10:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
ASRR,failed_to_load_data,2025-05-29 06:10:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
ELDE,failed_to_load_data,2025-05-27 10:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
PFVS,failed_to_load_data,2025-05-26 09:40:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
OBT,failed_to_load_data,2025-05-24 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
SOPH,,2025-05-23 12:07:30+00:00,LONG,2315.8627241496756,2269.545469666682,2315.8627241496756,25172.420914670387,0.092,2025-05-28T13:00:00+00:00,0.09015999999999999,2025-05-28T13:05:00+00:00,0.092,0.09015999999999999,2025-05-28T13:00:00+00:00,2025-05-28T13:05:00+00:00,stop_loss_hit,0.10579999999999999,0.09015999999999999,0.08,5.0,-2.0,-46.32,15.0,2.0,2.0,2.0,576.0
HUMA,,2025-05-22 06:02:37+00:00,LONG,2269.545469666682,2224.154560273348,2269.545469666682,26976.648872776444,0.08413,2025-05-26T13:00:00+00:00,0.08244739999999999,2025-05-26T13:05:00+00:00,0.08413,0.08244739999999999,2025-05-26T13:00:00+00:00,2025-05-26T13:05:00+00:00,stop_loss_hit,0.09674949999999999,0.08244739999999999,0.08,5.0,-2.0,-45.39,15.0,2.0,2.0,2.0,576.0
B,,2025-05-21 11:00:00+00:00,LONG,2224.154560273348,2557.77774431435,2224.154560273348,9267.310667805617,0.24,2025-05-22T16:30:00+00:00,0.27599999999999997,2025-05-22T16:45:00+00:00,0.24,0.27599999999999997,2025-05-22T16:30:00+00:00,2025-05-22T16:45:00+00:00,target_hit,0.27599999999999997,0.2352,0.25,15.0,15.0,333.62,15.0,2.0,2.0,4.0,576.0
MERL,,2025-05-20 09:00:00+00:00,LONG,2557.77774431435,2506.622189428063,2557.77774431435,16396.011181502243,0.156,2025-05-29T08:30:00+00:00,0.15288,2025-05-29T08:35:00+00:00,0.156,0.15288,2025-05-29T08:30:00+00:00,2025-05-29T08:35:00+00:00,stop_loss_hit,0.17939999999999998,0.15288,0.08,5.0,-2.0,-51.16,15.0,2.0,2.0,2.0,576.0
TGT,failed_to_load_data,2025-05-20 05:59:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
XTER,failed_to_load_data,2025-05-19 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
SOON,,2025-05-19 06:02:13+00:00,LONG,2506.622189428063,2882.615517842272,2506.622189428063,5107.217174873804,0.4908,2025-05-23T08:30:00+00:00,0.5644199999999999,2025-05-23T08:50:00+00:00,0.4908,0.5644199999999999,2025-05-23T08:30:00+00:00,2025-05-23T08:50:00+00:00,target_hit,0.5644199999999999,0.480984,0.33,20.0,15.0,375.99,15.0,2.0,2.0,5.0,576.0
REX,failed_to_load_data,2025-05-17 06:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
MIRAI,failed_to_load_data,2025-05-16 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,,2025-05-16 09:05:00+00:00,LONG,2882.615517842272,3178.275890018242,2882.615517842272,97481.1645815925,0.029571,2025-05-20T10:30:00+00:00,0.032604,2025-05-20T12:30:00+00:00,0.029571,0.032604,2025-05-20T10:30:00+00:00,2025-05-20T12:30:00+00:00,time_limit,0.03400665,0.028979579999999998,2.0,120.0,10.26,295.66,15.0,2.0,2.0,25.0,576.0
NS,failed_to_load_data,2025-05-16 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
PORT3,,2025-05-14 12:55:00+00:00,LONG,3178.275890018242,3655.017273520978,3178.275890018242,65789.19250710499,0.04831,2025-06-04T08:45:00+00:00,0.055556499999999995,2025-06-04T09:25:00+00:00,0.04831,0.055556499999999995,2025-06-04T08:45:00+00:00,2025-06-04T09:25:00+00:00,target_hit,0.055556499999999995,0.0473438,0.67,40.0,15.0,476.74,15.0,2.0,2.0,9.0,576.0
PRAI,failed_to_load_data,2025-05-14 12:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
HIPPO,,2025-05-14 09:30:00+00:00,LONG,3655.017273520978,4203.269864549125,3655.017273520978,164640.41772617018,0.0222,2024-11-13T12:30:00+00:00,0.02553,2024-11-13T12:45:00+00:00,0.0222,0.02553,2024-11-13T12:30:00+00:00,2024-11-13T12:45:00+00:00,target_hit,0.02553,0.021756,0.25,15.0,15.0,548.25,15.0,2.0,2.0,4.0,576.0
BLUE,failed_to_load_data,2025-05-14 07:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
NAVX,failed_to_load_data,2025-05-13 13:30:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
SCA,failed_to_load_data,2025-05-13 10:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
RDAC,failed_to_load_data,2025-05-12 11:00:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
PUFFER,,2025-05-12 08:00:00+00:00,LONG,4203.269864549125,4119.204467258141,4203.269864549125,18237.81778343873,0.23047,2025-06-04T08:30:00+00:00,0.2258606,2025-06-04T08:35:00+00:00,0.23047,0.2258606,2025-06-04T08:30:00+00:00,2025-06-04T08:35:00+00:00,stop_loss_hit,0.2650405,0.2258606,0.08,5.0,-2.0,-84.07,15.0,2.0,2.0,2.0,576.0
NXPC,,2025-05-12 07:21:24+00:00,LONG,4119.204467258141,4737.085137346862,4119.204467258141,1886.0826315284528,2.184,2025-05-15T06:30:00+00:00,2.5116,2025-05-15T06:35:00+00:00,2.184,2.5116,2025-05-15T06:30:00+00:00,2025-05-15T06:35:00+00:00,target_hit,2.5116,2.14032,0.08,5.0,15.0,617.88,15.0,2.0,2.0,2.0,576.0
GOAT,,2025-05-11 08:35:00+00:00,LONG,4737.085137346862,4642.343434599925,4737.085137346862,6169.6862950597315,0.7678,2024-10-24T13:30:00+00:00,0.752444,2024-10-24T14:15:00+00:00,0.7678,0.752444,2024-10-24T13:30:00+00:00,2024-10-24T14:15:00+00:00,stop_loss_hit,0.8829699999999999,0.752444,0.75,45.0,-2.0,-94.74,15.0,2.0,2.0,10.0,576.0
MOODENG,,2025-05-11 08:35:00+00:00,LONG,4642.343434599925,4549.496565907926,4642.343434599925,28232.94675302515,0.16443,2024-10-25T10:00:00+00:00,0.1611414,2024-10-25T10:05:00+00:00,0.16443,0.1611414,2024-10-25T10:00:00+00:00,2024-10-25T10:05:00+00:00,stop_loss_hit,0.18909449999999997,0.1611414,0.08,5.0,-2.0,-92.85,15.0,2.0,2.0,2.0,576.0
GORILLA,failed_to_load_data,2025-05-08 06:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
DOOD,,2025-05-07 11:13:17+00:00,LONG,4549.496565907926,4458.506634589768,4549.496565907926,530900.2457474183,0.0085694,2025-05-09T13:30:00+00:00,0.008398012,2025-05-09T13:35:00+00:00,0.0085694,0.008398012,2025-05-09T13:30:00+00:00,2025-05-09T13:35:00+00:00,stop_loss_hit,0.009854809999999999,0.008398012,0.08,5.0,-2.0,-90.99,15.0,2.0,2.0,2.0,576.0
OBOL,,2025-05-07 10:00:00+00:00,LONG,4458.506634589768,4369.336501897972,4458.506634589768,10565.181598553952,0.422,2025-05-07T10:30:00+00:00,0.41356,2025-05-07T10:35:00+00:00,0.422,0.41356,2025-05-07T10:30:00+00:00,2025-05-07T10:35:00+00:00,stop_loss_hit,0.48529999999999995,0.41356,0.08,5.0,-2.0,-89.17,15.0,2.0,2.0,2.0,576.0
ZKJ,,2025-05-07 06:00:00+00:00,LONG,4369.336501897972,4390.044257831139,4369.336501897972,2070.7755933165745,2.11,2025-05-13T09:30:00+00:00,2.12,2025-05-13T11:30:00+00:00,2.11,2.12,2025-05-13T09:30:00+00:00,2025-05-13T11:30:00+00:00,time_limit,2.4265,2.0677999999999996,2.0,120.0,0.47,20.71,15.0,2.0,2.0,25.0,576.0
MYX,failed_to_load_data,2025-05-06 10:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
DONKEY,failed_to_load_data,2025-05-05 15:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
JAGER,failed_to_load_data,2025-05-05 15:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
SXT,,2025-05-05 13:37:35+00:00,LONG,4390.044257831139,5048.550896505809,4390.044257831139,8198.028492681866,0.5355,2025-05-02T08:30:00+00:00,0.615825,2025-05-02T08:35:00+00:00,0.5355,0.615825,2025-05-02T08:30:00+00:00,2025-05-02T08:35:00+00:00,target_hit,0.615825,0.52479,0.08,5.0,15.0,658.51,15.0,2.0,2.0,2.0,576.0
BOOP,failed_to_load_data,2025-05-05 06:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
GORK,failed_to_load_data,2025-05-01 10:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSE,failed_to_load_data,2025-05-01 10:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
BEETS,failed_to_load_data,2025-05-01 07:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
ANON,failed_to_load_data,2025-05-01 07:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW,failed_to_load_data,2025-05-01 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
B2,,2025-04-30 10:20:00+00:00,LONG,5048.550896505809,5455.8952959077915,5048.550896505809,8398.853595917168,0.6011,2025-05-06T13:30:00+00:00,0.6496,2025-05-06T15:30:00+00:00,0.6011,0.6496,2025-05-06T13:30:00+00:00,2025-05-06T15:30:00+00:00,time_limit,0.6912649999999999,0.589078,2.0,120.0,8.07,407.34,15.0,2.0,2.0,25.0,576.0
HAEDAL,,2025-04-29 12:00:00+00:00,LONG,5455.8952959077915,6274.27959029396,5455.8952959077915,51470.71033875275,0.106,2025-05-01T03:15:00+00:00,0.12189999999999998,2025-05-01T04:15:00+00:00,0.106,0.12189999999999998,2025-05-01T03:15:00+00:00,2025-05-01T04:15:00+00:00,target_hit,0.12189999999999998,0.10388,1.0,60.0,15.0,818.38,15.0,2.0,2.0,13.0,576.0
MILK,,2025-04-29 10:20:00+00:00,LONG,6274.27959029396,6713.62105419259,6274.27959029396,52552.806686439064,0.11939,2025-05-06T13:45:00+00:00,0.12775,2025-05-06T15:45:00+00:00,0.11939,0.12775,2025-05-06T13:45:00+00:00,2025-05-06T15:45:00+00:00,time_limit,0.1372985,0.1170022,2.0,120.0,7.0,439.34,15.0,2.0,2.0,25.0,576.0
SIGN,,2025-04-28 10:00:00+00:00,LONG,6713.62105419259,6579.348633108739,6713.62105419259,89754.29216835013,0.0748,2025-04-28T11:00:00+00:00,0.07330400000000001,2025-04-28T11:05:00+00:00,0.0748,0.07330400000000001,2025-04-28T11:00:00+00:00,2025-04-28T11:05:00+00:00,stop_loss_hit,0.08602,0.07330400000000001,0.08,5.0,-2.0,-134.27,15.0,2.0,2.0,2.0,576.0
AIOT,,2025-04-25 10:20:00+00:00,LONG,6579.348633108739,7566.250928075049,6579.348633108739,36247.8576007313,0.18151,2025-04-30T12:30:00+00:00,0.2087365,2025-04-30T12:35:00+00:00,0.18151,0.2087365,2025-04-30T12:30:00+00:00,2025-04-30T12:35:00+00:00,target_hit,0.2087365,0.1778798,0.08,5.0,15.0,986.9,15.0,2.0,2.0,2.0,576.0
DOLO,,2025-04-24 12:00:00+00:00,LONG,7566.250928075049,8701.188567286306,7566.250928075049,157630.2276682302,0.048,2025-05-01T03:00:00+00:00,0.0552,2025-05-01T03:05:00+00:00,0.048,0.0552,2025-05-01T03:00:00+00:00,2025-05-01T03:05:00+00:00,target_hit,0.0552,0.04704,0.08,5.0,15.0,1134.94,15.0,2.0,2.0,2.0,576.0
ZORA,failed_to_load_data,2025-04-23 13:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
HYPER,,2025-04-22 11:10:00+00:00,LONG,8701.188567286306,8527.16479594058,8701.188567286306,33989.01784096214,0.256,2025-04-22T13:00:00+00:00,0.25088,2025-04-22T13:45:00+00:00,0.256,0.25088,2025-04-22T13:00:00+00:00,2025-04-22T13:45:00+00:00,stop_loss_hit,0.2944,0.25088,0.75,45.0,-2.0,-174.02,15.0,2.0,2.0,10.0,576.0
TROLL,failed_to_load_data,2025-04-22 10:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
WIZARD,failed_to_load_data,2025-04-22 10:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
SKYAI,,2025-04-22 10:40:00+00:00,LONG,8527.16479594058,9291.184710715894,8527.16479594058,146363.96834776143,0.05826,2025-05-13T09:45:00+00:00,0.06348,2025-05-13T11:45:00+00:00,0.05826,0.06348,2025-05-13T09:45:00+00:00,2025-05-13T11:45:00+00:00,time_limit,0.06699899999999999,0.0570948,2.0,120.0,8.96,764.02,15.0,2.0,2.0,25.0,576.0
EPT,,2025-04-21 12:00:00+00:00,LONG,9291.184710715894,9105.361016501576,9291.184710715894,521976.66914134234,0.0178,2025-04-21T13:00:00+00:00,0.017444,2025-04-21T13:05:00+00:00,0.0178,0.017444,2025-04-21T13:00:00+00:00,2025-04-21T13:05:00+00:00,stop_loss_hit,0.02047,0.017444,0.08,5.0,-2.0,-185.82,15.0,2.0,2.0,2.0,576.0
POPCAT,,2025-04-21 11:45:00+00:00,LONG,9105.361016501576,8923.253796171544,9105.361016501576,16210.363212571794,0.5617,2024-08-22T13:00:00+00:00,0.550466,2024-08-22T13:05:00+00:00,0.5617,0.550466,2024-08-22T13:00:00+00:00,2024-08-22T13:05:00+00:00,stop_loss_hit,0.645955,0.550466,0.08,5.0,-2.0,-182.11,15.0,2.0,2.0,2.0,576.0
SPX,,2025-04-21 11:45:00+00:00,LONG,8923.253796171544,10261.741865597276,8923.253796171544,14872.089660285908,0.6,2024-12-10T12:45:00+00:00,0.69,2024-12-10T13:10:00+00:00,0.6,0.69,2024-12-10T12:45:00+00:00,2024-12-10T13:10:00+00:00,target_hit,0.69,0.588,0.42,25.0,15.0,1338.49,15.0,2.0,2.0,6.0,576.0
CULT,failed_to_load_data,2025-04-21 11:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
MOG,failed_to_load_data,2025-04-21 11:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
BANK,,2025-04-18 11:20:01+00:00,LONG,10261.741865597276,11801.003145436867,10261.741865597276,256543.54663993188,0.04,2025-04-18T18:30:00+00:00,0.046,2025-04-18T18:35:00+00:00,0.04,0.046,2025-04-18T18:30:00+00:00,2025-04-18T18:35:00+00:00,target_hit,0.046,0.0392,0.08,5.0,15.0,1539.26,15.0,2.0,2.0,2.0,576.0
GM,failed_to_load_data,2025-04-17 11:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
DARK,failed_to_load_data,2025-04-17 10:27:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
FAIR3,failed_to_load_data,2025-04-14 15:15:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
PROMPT,,2025-04-10 13:00:00+00:00,LONG,11801.003145436867,13571.153617252396,11801.003145436867,72133.27106012755,0.1636,2025-04-11T06:30:00+00:00,0.18813999999999997,2025-04-11T06:35:00+00:00,0.1636,0.18813999999999997,2025-04-11T06:30:00+00:00,2025-04-11T06:35:00+00:00,target_hit,0.18813999999999997,0.160328,0.08,5.0,15.0,1770.15,15.0,2.0,2.0,2.0,576.0
FHE,,2025-04-10 12:20:00+00:00,LONG,13571.153617252396,15606.826659840255,13571.153617252396,230762.68691128033,0.05881,2025-04-12T15:00:00+00:00,0.0676315,2025-04-12T15:05:00+00:00,0.05881,0.0676315,2025-04-12T15:00:00+00:00,2025-04-12T15:05:00+00:00,target_hit,0.0676315,0.0576338,0.08,5.0,15.0,2035.67,15.0,2.0,2.0,2.0,576.0
RFC,failed_to_load_data,2025-04-08 15:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
STO,,2025-04-03 08:50:00+00:00,LONG,15606.826659840255,17947.850658816293,15606.826659840255,206959.64275083216,0.07541,2025-04-12T14:45:00+00:00,0.08672149999999999,2025-04-12T14:50:00+00:00,0.07541,0.08672149999999999,2025-04-12T14:45:00+00:00,2025-04-12T14:50:00+00:00,target_hit,0.08672149999999999,0.0739018,0.08,5.0,15.0,2341.02,15.0,2.0,2.0,2.0,576.0
SAFE,,2025-04-02 10:20:00+00:00,LONG,17947.850658816293,17588.893645639964,17947.850658816293,10825.000397356027,1.658,2024-10-25T12:30:00+00:00,1.6248399999999998,2024-10-25T12:35:00+00:00,1.658,1.6248399999999998,2024-10-25T12:30:00+00:00,2024-10-25T12:35:00+00:00,stop_loss_hit,1.9066999999999998,1.6248399999999998,0.08,5.0,-2.0,-358.96,15.0,2.0,2.0,2.0,576.0
ZETA,,2025-04-02 10:20:00+00:00,LONG,17588.893645639964,17237.115772727164,17588.893645639964,10257.110826708633,1.7148,2024-02-02T08:30:00+00:00,1.680504,2024-02-02T08:40:00+00:00,1.7148,1.680504,2024-02-02T08:30:00+00:00,2024-02-02T08:40:00+00:00,stop_loss_hit,1.9720199999999999,1.680504,0.17,10.0,-2.0,-351.78,15.0,2.0,2.0,3.0,576.0
PUMP,,2025-04-01 17:05:00+00:00,LONG,17237.115772727164,16892.37345727262,17237.115772727164,180285.69995530974,0.09561,2025-04-12T14:30:00+00:00,0.0936978,2025-04-12T14:35:00+00:00,0.09561,0.0936978,2025-04-12T14:30:00+00:00,2025-04-12T14:35:00+00:00,stop_loss_hit,0.1099515,0.0936978,0.08,5.0,-2.0,-344.74,15.0,2.0,2.0,2.0,576.0
MEW,,2025-04-01 13:54:00+00:00,LONG,16892.37345727262,18133.617267721093,16892.37345727262,3819211.724456844,0.004423,2024-06-17T14:00:00+00:00,0.004748,2024-06-17T16:00:00+00:00,0.004423,0.004748,2024-06-17T14:00:00+00:00,2024-06-17T16:00:00+00:00,time_limit,0.005086449999999999,0.00433454,2.0,120.0,7.35,1241.24,15.0,2.0,2.0,25.0,576.0
BIGTIME,,2025-04-01 13:54:00+00:00,LONG,18133.617267721093,20853.659857879255,18133.617267721093,90396.89565165051,0.2006,2023-10-12T14:30:00+00:00,0.23068999999999998,2023-10-12T14:35:00+00:00,0.2006,0.23068999999999998,2023-10-12T14:30:00+00:00,2023-10-12T14:35:00+00:00,target_hit,0.23068999999999998,0.19658799999999998,0.08,5.0,15.0,2720.04,15.0,2.0,2.0,2.0,576.0
ATH,,2025-04-01 13:54:00+00:00,LONG,20853.659857879255,20436.58666072167,20853.659857879255,655157.3942154966,0.03183,2025-04-02T15:45:00+00:00,0.031193399999999996,2025-04-02T15:50:00+00:00,0.03183,0.031193399999999996,2025-04-02T15:45:00+00:00,2025-04-02T15:50:00+00:00,stop_loss_hit,0.03660449999999999,0.031193399999999996,0.08,5.0,-2.0,-417.07,15.0,2.0,2.0,2.0,576.0
GRASS,,2025-04-01 13:54:00+00:00,LONG,20436.58666072167,20027.854927507236,20436.58666072167,5839.024760206192,3.5,2024-11-08T15:30:00+00:00,3.4299999999999997,2024-11-08T15:35:00+00:00,3.5,3.4299999999999997,2024-11-08T15:30:00+00:00,2024-11-08T15:35:00+00:00,stop_loss_hit,4.0249999999999995,3.4299999999999997,0.08,5.0,-2.0,-408.73,15.0,2.0,2.0,2.0,576.0
GHIBLI,failed_to_load_data,2025-03-27 17:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
KILO,failed_to_load_data,2025-03-27 12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
PARTI,,2025-03-25 11:10:00+00:00,LONG,20027.854927507236,19627.297828957093,20027.854927507236,50069.63731876809,0.4,2025-03-25T13:00:00+00:00,0.392,2025-03-25T13:05:00+00:00,0.4,0.392,2025-03-25T13:00:00+00:00,2025-03-25T13:05:00+00:00,stop_loss_hit,0.45999999999999996,0.392,0.08,5.0,-2.0,-400.56,15.0,2.0,2.0,2.0,576.0
BUBB,failed_to_load_data,2025-03-24 08:40:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
AGON,failed_to_load_data,2025-03-24 08:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
QUQ,failed_to_load_data,2025-03-22 06:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
TAT,failed_to_load_data,2025-03-22 06:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
MUBARAKAH,failed_to_load_data,2025-03-21 10:19:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
PLUME,,2025-03-21 10:19:00+00:00,LONG,19627.297828957093,19234.75187237795,19627.297828957093,96972.81536045995,0.2024,2025-03-21T13:00:00+00:00,0.198352,2025-03-21T13:10:00+00:00,0.2024,0.198352,2025-03-21T13:00:00+00:00,2025-03-21T13:10:00+00:00,stop_loss_hit,0.23275999999999997,0.198352,0.17,10.0,-2.0,-392.55,15.0,2.0,2.0,3.0,576.0
AFT,failed_to_load_data,2025-03-21 10:19:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
BR,,2025-03-20 12:20:00+00:00,LONG,19234.75187237795,18850.05683493039,19234.75187237795,113412.45207770017,0.1696,2025-03-21T12:45:00+00:00,0.166208,2025-03-21T13:20:00+00:00,0.1696,0.166208,2025-03-21T12:45:00+00:00,2025-03-21T13:20:00+00:00,stop_loss_hit,0.19504,0.166208,0.58,35.0,-2.0,-384.7,15.0,2.0,2.0,8.0,576.0
TUT,,2025-03-18 06:20:00+00:00,LONG,18850.05683493039,21677.56536016995,18850.05683493039,439702.748657112,0.04287,2025-03-20T09:00:00+00:00,0.0493005,2025-03-20T09:10:00+00:00,0.04287,0.0493005,2025-03-20T09:00:00+00:00,2025-03-20T09:10:00+00:00,target_hit,0.0493005,0.0420126,0.17,10.0,15.0,2827.51,15.0,2.0,2.0,3.0,576.0
MUBARAK,,2025-03-15 12:15:00+00:00,LONG,21677.56536016995,24929.200164195438,21677.56536016995,264683.3377310128,0.0819,2025-03-17T13:45:00+00:00,0.09418499999999999,2025-03-17T13:50:00+00:00,0.0819,0.09418499999999999,2025-03-17T13:45:00+00:00,2025-03-17T13:50:00+00:00,target_hit,0.09418499999999999,0.080262,0.08,5.0,15.0,3251.63,15.0,2.0,2.0,2.0,576.0
BMT,,2025-03-11 11:05:00+00:00,LONG,24929.200164195438,28668.58018882475,24929.200164195438,225399.63982093523,0.1106,2025-03-17T13:30:00+00:00,0.12719,2025-03-17T13:35:00+00:00,0.1106,0.12719,2025-03-17T13:30:00+00:00,2025-03-17T13:35:00+00:00,target_hit,0.12719,0.108388,0.08,5.0,15.0,3739.38,15.0,2.0,2.0,2.0,576.0
AVL,failed_to_load_data,2025-02-26 09:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
VINU,failed_to_load_data,2025-02-26 09:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
PAIN,failed_to_load_data,2025-02-26 09:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
